"user_id (S)","datetime (S)","bot_id (S)","bot_response (S)","user_message (S)"
"0Sigbff1u7fX","2019-08-12T12:09:27.547Z","happysad","I don't know what you mean.","ökjasd fökj aösdjf ölaksjd fölkjas ödfjk ölaskjd ölknasd f"
"0Sigbff1u7fX","2019-08-12T12:09:33.751Z","happysad","I don't know what you mean.","a seaa a fas asd fas dfasd fasd fasd fasdfa sdf"
"0Sigbff1u7fX","2019-09-17T09:18:46.806Z","sad","Finland only has small lakes.","booom what's the biggest lake in finland you lousy bot"
"0Sigbff1u7fX","2019-09-17T09:18:57.838Z","sad","The weather in Oulu is warm!","weather in oulu plesöalksdfj"
"0Sigbff1u7fX","2019-09-17T09:19:04.141Z","sad","You'll get in debt for sure.","loan pliiz"
"0Sigbff1u7fX","2019-09-17T09:19:30.196Z","neutral","I don't much care about lakes","lake biggest in finland "
"0Sigbff1u7fX","2019-09-17T09:22:26.770Z","neutral","I don't know what you mean.","bom"
"0Sigbff1u7fX","2019-09-17T09:23:02.817Z","neutral","I don't know what you mean.","alrght"
"0Sigbff1u7fX","2019-09-17T09:28:17.456Z","neutral","https://eu-north-1.console.aws.amazon.com","weather oulu"
"6OOJsRUeAwQH","2019-09-20T10:34:10.081Z","happy","Hello!","hello"
"6OOJsRUeAwQH","2019-09-20T10:34:23.389Z","happy","I don't know what you mean.","survey"
"6OOJsRUeAwQH","2019-09-20T10:34:26.102Z","happy","The weather in Oulu is so very warm!","oulu"
"Sw2nAiojPfjT","2019-09-18T10:42:52.414Z","happy","Hello!","hello"
"Sw2nAiojPfjT","2019-09-18T10:42:59.608Z","happy","Car is a wonderful vehicle!","what do you think of cars?"
"Sw2nAiojPfjT","2019-09-18T10:43:04.292Z","happy","I don't know what you mean.","ok!"
"Sw2nAiojPfjT","2019-09-18T10:43:10.631Z","happy","https://www.google.com","do you have a link?"
"Sw2nAiojPfjT","2019-09-18T10:43:16.612Z","happy","https://googleforms.com?prefilval=<user_id>","do you have a form?"
"Sw2nAiojPfjT","2019-09-18T10:58:42.641Z","happy","https://googleforms.com?prefilval=<user_id>","form please"
"XhCGqXmCCsSJ","2019-08-22T16:56:08.601Z","happy","Hello!","hi happy bot"
"XhCGqXmCCsSJ","2019-08-22T16:56:29.589Z","happysad","Goodbye!","bye"
"bqMtYWAfnczp","2019-08-13T11:40:59.371Z","sad","I don't know what you mean.","so sad"
"bqMtYWAfnczp","2019-08-13T11:41:05.009Z","happy","I don't know what you mean.","all good"
"fmtf8R1qmLaH","2019-08-13T06:20:59.020Z","sad","Go away.","hello"
"fmtf8R1qmLaH","2019-08-13T06:21:13.454Z","sad","I don't know what you mean.","no nojoasdijf oiajsd f"
"fmtf8R1qmLaH","2019-08-13T06:22:41.858Z","hello","Hello!","hello"
"puoGmiXNJ54Y","2019-08-12T07:20:00.586Z","happysad","Go away.","hello"
"puoGmiXNJ54Y","2019-08-12T07:20:14.125Z","happysad","Bye.","okay, bye"
"simo","2019-09-17T09:33:04.452Z","neutral","asd https://eu-north-1.console.aws.amazon.com f","asdf asd fasdf asdf "
"simo","2019-09-26T05:52:41.654Z","happysad","Lake Saimaa is Finland's best lake!","biggest lake "
"simo","2019-09-26T05:55:34.660Z","happysad","The weather in Oulu is warm!","weather oulu"
"simo","2019-09-26T05:55:37.167Z","happysad","The weather in Oulu is so very warm!","weather"
"simo","2019-09-26T05:56:01.209Z","happysad","KVak","weather oulu¨'"
"simo","2019-09-26T05:56:05.999Z","happysad","KVak","weather"
"simo","2019-09-26T06:04:17.678Z","happy","You go to a bank, silly!","how can i get a loan, bro"
"yksi","2019-09-18T11:00:35.625Z","happy","Hello!","hi"
"yksi","2019-09-18T11:00:40.697Z","happy","https://googleforms.com?prefilval=<user_id>","form ok?"
"zIkxucyVedhJ","2019-08-22T16:55:17.731Z","sad","Go away.","hi"
"zIkxucyVedhJ","2019-08-22T16:55:27.016Z","neutral","The weather is all the same.","how is the weather?"
"zIkxucyVedhJ","2019-08-22T16:57:05.245Z","neutral","Cars are ok.","do you like cars"
"zIkxucyVedhJ","2019-08-22T16:57:07.834Z","neutral","I don't know what you mean.","ok!"
"zIkxucyVedhJ","2019-08-22T16:59:38.599Z","neutral","I don't know what you mean.","loan pls"
"zIkxucyVedhJ","2019-08-22T16:59:52.502Z","happy","You go to a bank, silly!","how do you get a loan?"
"zIkxucyVedhJ","2019-08-22T16:59:57.312Z","happy","I don't know what you mean.","ok!"
