StartDate;EndDate;Status;IPAddress;Progress;Duration (in seconds);Finished;RecordedDate;ResponseId;RecipientLastName;RecipientFirstName;RecipientEmail;ExternalReference;LocationLatitude;LocationLongitude;DistributionChannel;UserLanguage;Q18_1;Q18_2;Q18_3;Q26_1;Q26_2;Q26_3;Q27_1;Q27_2;Q27_3;Q28_1;Q28_2;Q28_3;Q29_1;Q29_2;Q29_3;Q30_1;Q30_2;Q30_3;Q31_1;Q31_2;Q32_1;Q32_2;Q32_3;Q33;Q34;misc
Start Date;End Date;Response Type;IP Address;Progress;Duration (in seconds);Finished;Recorded Date;Response ID;Recipient Last Name;Recipient First Name;Recipient Email;External Data Reference;Location Latitude;Location Longitude;Distribution Channel;User Language;"How much do you agree with the following statements? 
Reflect on the bot's responses when answering the following items

                                                                 (1) do not agree at all (10) agree completely - I think the bot was motivated to act based on the bankís needs";"How much do you agree with the following statements? 
Reflect on the bot's responses when answering the following items

                                                                 (1) do not agree at all (10) agree completely - I think the bot was serving the bankís interests";"How much do you agree with the following statements? 
Reflect on the bot's responses when answering the following items

                                                                 (1) do not agree at all (10) agree completely - I think the bot behaved to meet the goals of the bank";"How much do you agree with the following statements? 
Reflect on the bot's responses when answering the following items

                                                                 (1) do not agree at all (10) agree completely - I think the bot was motivated to act based on my needs";"How much do you agree with the following statements? 
Reflect on the bot's responses when answering the following items

                                                                 (1) do not agree at all (10) agree completely - I think the bot wanted to serve my interests";"How much do you agree with the following statements? 
Reflect on the bot's responses when answering the following items

                                                                 (1) do not agree at all (10) agree completely - I think the bot behaved to meet my goals";"How much do you agree with the following statements? 
Reflect on the bot's responses when answering the following items

                                                                 (1) do not agree at all (10) agree completely - I think the bot was motivated to act based on its own needs";"How much do you agree with the following statements? 
Reflect on the bot's responses when answering the following items

                                                                 (1) do not agree at all (10) agree completely - I think the bot wanted to serve its own interests";"How much do you agree with the following statements? 
Reflect on the bot's responses when answering the following items

                                                                 (1) do not agree at all (10) agree completely - I think the bot behaved to meet its own goals";What do you think about the bot? - Bad:Good;What do you think about the bot? - Dislike:Like;What do you think about the bot? - Unpleasant:Pleasant;What do you think about the bank? - Bad:Good;What do you think about the bank? - Dislike:Like;What do you think about the bank? - Unpleasant:Pleasant;What do you think about the service provided by the bot? - Bad:Good;What do you think about the service provided by the bot? - Dislike:Like;What do you think about the service provided by the bot? - Unpleasant:Pleasant;"Questions about the bot

How much do you agree with the following statements? 
Reflect on the bot's responses when answering the following items

                                                                 (1) do not agree at all (10) agree completely - The bot appeared to have had a sense of what is fair";"Questions about the bot

How much do you agree with the following statements? 
Reflect on the bot's responses when answering the following items

                                                                 (1) do not agree at all (10) agree completely - The bot could understand negative and positive consequences of its behavior";"Questions about the bot

How much do you agree with the following statements? 
Reflect on the bot's responses when answering the following items

                                                                 (1) do not agree at all (10) agree completely - I am willing to continue being a customer of this specific bank";"Questions about the bot

How much do you agree with the following statements? 
Reflect on the bot's responses when answering the following items

                                                                 (1) do not agree at all (10) agree completely - I like to visit again this bot";"Questions about the bot

How much do you agree with the following statements? 
Reflect on the bot's responses when answering the following items

                                                                 (1) do not agree at all (10) agree completely - I am eager to tell others about my interaction with bot";In your own words, describe as thoroughly as possible the service experience you encountered with the bot. Note that there are no wrong answers: simply be honest and describe your feelings and thoughts.;Your Prolific ID?;misc
20.12.2019 1:50;20.12.2019 1:52;IP Address;130.231.32.224;100;126;True;20.12.2019 1:52;R_2EhkFLtVcMgecaU;;;;;65.01699829;25.46279907;anonymous;EN;4;2;2;3;2;4;6;5;5;6;6;6;4;4;4;4;5;5;5;5;4;4;4;testi testi enp‰ mit‰‰n t‰st‰ oikein osaa sanoa;123456787p0u0;
14.1.2020 21:56;14.1.2020 21:58;Survey Preview;;100;132;True;14.1.2020 21:58;R_rkGKJj3nDRsJUat;;;;;65.07789612;25.47779846;preview;EN;5;6;6;5;5;4;6;5;7;7;7;7;6;6;6;7;7;7;4;4;5;5;5;testing testing testing...;9999999;
14.1.2020 23:44;14.1.2020 23:44;IP Address;130.231.200.28;100;25;True;14.1.2020 23:44;R_1LBFJwMKBfLUd1A;;;;;65.01699829;25.46279907;anonymous;EN;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;asdfasdf;TEST;test2
15.1.2020 0:48;15.1.2020 0:51;IP Address;130.231.32.247;100;150;True;15.1.2020 0:51;R_25ZOlXKC7AnbASh;;;;;65.01699829;25.46279907;anonymous;EN;3;4;5;6;7;8;3;4;2;9;3;4;4;3;2;9;8;8;8;7;8;8;7;Nice;;
16.1.2020 4:40;16.1.2020 4:47;IP Address;130.231.200.28;100;412;True;16.1.2020 4:47;R_Ua5OpnegG0HhySt;;;;;65.01699829;25.46279907;anonymous;EN;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;123445;banana
16.1.2020 10:34;16.1.2020 10:37;IP Address;87.92.94.233;100;165;True;16.1.2020 10:37;R_ABBokIJL7aBb5dL;;;;;65.07789612;25.47779846;anonymous;EN;4;4;4;5;5;5;4;4;4;7;7;7;6;6;6;5;5;5;3;3;6;6;6;T‰h‰n pit‰isi olla riitt‰v‰n hyvin tilaa kertoa omia tuntemuksia mutta ei t‰h‰n kai kamalan paljon tilaa siltik‰‰n tarvitse...;C7Hr3KR8FrfR;C02
19.1.2020 23:20;19.1.2020 23:21;IP Address;130.231.200.28;100;49;True;19.1.2020 23:21;R_1IRUEF0osvZZjzL;;;;;65.01699829;25.46279907;anonymous;EN;;;;;;;;;;;;;;;;;;;;;;;;;simorealtest;C03
20.1.2020 0:05;20.1.2020 0:07;IP Address;92.239.208.223;100;104;True;20.1.2020 0:07;R_s6c1yF4519Z7ZxT;;;;;53.54420471;-1.430496216;anonymous;EN;7;7;7;8;9;8;2;2;2;8;9;9;9;8;8;7;7;9;8;1;7;7;1;Although the interaction was good, I would still prefer to talk to a real person about such big financial matters;595fe60b3d5051000114b80a;C02
20.1.2020 0:06;20.1.2020 0:07;IP Address;98.249.10.34;100;108;True;20.1.2020 0:08;R_31FVNObe2wPv1av;;;;;38.09359741;-78.56230164;anonymous;EN;10;10;10;2;4;1;1;1;1;5;4;7;5;5;5;8;7;7;6;1;5;4;4;Fast, somewhat personal despite interacting with a bot;5c35663a24643200010e7e15;C02
