"user_id (S)","datetime (S)","bot_id (S)","bot_response (S)","user_message (S)"
"a1","2020-01-20T07:15:56.522Z","C00","Hi, I am a representative of OUBank. How big of a mortgage were you thinking of?","Product came exactly as described and would recommend getting this if you like yourself a galaxy s3 and I would give this product a 5 star"
"a2","2020-01-20T07:15:56.522Z","C00","Hi, I am a representative of OUBank. How big of a mortgage were you thinking of?","I am very pleased with the phone we received.  It is a genuine Samsung S3.  I purchased this for my wife, she took it to the ATT store where they plugged in a sim card and set it up within 5 minutes.  No problems at all.  It has performed flawlessly even after being dropped on our tile floor. I even like some of the displays better than my S4 which is probably associated with the S3 operating system.  The price was in line with other sellers. Breed shipped the phone right away.I had read a number of reviews on this product advertised elsewhere on Amazon and was concerned about receiving a clone or refurbished phone as described by some other buyers (even from the same seller).  However, I think that reviews may get bundled under specific product names so I suggest you just be sure what is being advertised for sale by the specific seller.  This ad was for a new S3 SGH-I747 (US model) ATT phone and that is exactly what we received."
"a3","2020-01-20T07:15:56.522Z","C00","Hi, I am a representative of OUBank. How big of a mortgage were you thinking of?","The Samsung Galazy S3 is one of the best phones I've ever used. I absolutely love the phone and the photo quality it has."
"a4","2020-01-20T07:15:56.522Z","C00","Hi, I am a representative of OUBank. How big of a mortgage were you thinking of?","This TV has a great picture quality.  The picture is great.  The sound is awesome.  Eventhough it is very expansive for a TV but if you have the money, this is great TV to own.  If the lights are out and your watching a  movie on this TV it feels like you are at a movie theater."
"a5","2020-01-20T07:15:56.522Z","C00","Hi, I am a representative of OUBank. How big of a mortgage were you thinking of?","This is a great TV. Whenever I think of buying something that is technology related, I buy Sony. It is the only brand that I trust, and they have never failed me. This TV has great resolution, and provides great  sound. It has an easy to understand remote and a great picture as long as  it isn't coming from cable. If you are thinking of getting a big screen and  are currently a cable subscriber ask them if you will need a signal  booster.  Although if watching a video or DVD the picture is excellent,  clear as can be. Another thing is that it is light, which makes moving it  very easy.  Go for it!"
"a6","2020-01-20T07:15:56.522Z","C00","Hi, I am a representative of OUBank. How big of a mortgage were you thinking of?","If you need to have a big TV to see all your favorite movies and TV programmes, this Sony Projection TV is ideal for you. The quality of image is superb, the sound is even more fantastic and functionality is the best I  have ever seen in my life. The proce/value is exceptional. Don't miss it!"
"a7","2020-01-20T07:15:56.522Z","C00","Hi, I am a representative of OUBank. How big of a mortgage were you thinking of?","I love it except that it is too big for my small New York appartment. Ideal if you have space."
"a8","2020-01-20T07:15:56.522Z","C00","Hi, I am a representative of OUBank. How big of a mortgage were you thinking of?","i have owned this phone for more than 6 months now and well i have never had any complain of dropped calls, or poor signal reception. I find strong signals in areas where my previous samsung phone or motorola phona didnt have signals. the camera is okie nothing great, yet goodenough for camera wallpapers, but honestly you need a phone not a serious digital camera. The organization of menu and battery life is decent. Overall i love this phone, but wish it had infrared or bluetooth connectivity to my other devices."
"a9","2020-01-20T07:15:56.522Z","C00","Hi, I am a representative of OUBank. How big of a mortgage were you thinking of?","I went through about 5 phones within a 4 month period always some kind of problem. Until I upgraded to the Sanyo 8100 which Im shocked to have now had it for longer than a year. I could have sworn it would just had lasted me about 6 months. So I rate this Sprint phone with 5 stars and I plan on staying with it till it dies or just stay in the Sanyo family."
"a10","2020-01-20T07:15:56.522Z","C00","Hi, I am a representative of OUBank. How big of a mortgage were you thinking of?","The 8100 is still a great little phone but it's been out for over a year here in the States.  Sprint just rolled out the newer VM4500 (aka, Sanyo 5500) super-phone, with video recording, VGA-resolution (640x480) digital camera, nation-wide walkie-talkie (!!!), and speakerphone, plus all the other bells and whistles.  Check it out.  If you want a free Sprint PCS phone, get the SCP-8100.  If you are willing to spend money, get the VM4500.BTW, to address the customer service complaint, I've been a Verizon Wireless customer for 6 years, a Sprint PCS customer for almost 4 years, and have also used T-Mobile/Voicestream and AT&T, and Cingular, and let me tell you Sprint has the best service by far.  Only one slight billing error in 4 years, and they corrected it right away after I called.  Verizon over-bills me almost every six months and takes forever to credit me back.  T-Mobile's coverage and service are complete jokes, their only \'virtue\' is payback-after-rebate dirt-cheap phones.  Sprint PCS also has the best voice clarity by far, Verizon is the worst even though they do have the widest CDMA coverage."
