StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q18_1,Q18_2,Q18_3,Q26_1,Q26_2,Q26_3,Q27_1,Q27_2,Q27_3,Q28_1,Q28_2,Q28_3,Q29_1,Q29_2,Q29_3,Q30_1,Q30_2,Q30_3,Q31_1,Q31_2,Q32_1,Q32_2,Q32_3,Q33,Q34,"misc
",Negative probability,Positive probability,Classification
15.1.2020 0:48,15.1.2020 0:51,IP Address,130.231.32.247,100,150,True,15.1.2020 0:51,R_25ZOlXKC7AnbASh,,,,,65.01699829,25.46279907,anonymous,EN,3,4,5,6,7,8,3,4,2,9,3,4,4,3,2,9,8,8,8,7,8,8,7,Nice,,"
",0.4300595238095238,0.569940476190476,Neutral
20.1.2020 0:05,20.1.2020 0:07,IP Address,92.239.208.223,100,104,True,20.1.2020 0:07,R_s6c1yF4519Z7ZxT,,,,,53.54420471,-1.430496216,anonymous,EN,7,7,7,8,9,8,2,2,2,8,9,9,9,8,8,7,7,9,8,1,7,7,1,"Although the interaction was good, I would still prefer to talk to a real person about such big financial matters",595fe60b3d5051000114b80a,"C02
",0.9783422580189374,0.02165774198105914,Negative
20.1.2020 0:06,20.1.2020 0:07,IP Address,98.249.10.34,100,108,True,20.1.2020 0:08,R_31FVNObe2wPv1av,,,,,38.09359741,-78.56230164,anonymous,EN,10,10,10,2,4,1,1,1,1,5,4,7,5,5,5,8,7,7,6,1,5,4,4,"Fast, somewhat personal despite interacting with a bot",5c35663a24643200010e7e15,"C02
",0.7731636480981003,0.22683635190189977,Somewhat negative
20.1.2020 0:11,20.1.2020 0:14,IP Address,122.58.167.212,100,142,True,20.1.2020 0:14,R_3KHeJ5b2Pxujgph,,,,,-36.8506012,174.7679138,anonymous,EN,10,10,10,9,9,9,1,1,1,9,10,10,10,10,10,10,10,10,9,5,8,7,4,The responses seem a bit canned - like they were pre-written to trigger when some key words were said. It does seem effective enough but i'm skeptical that it would be able to help in unique scenarios,5cc7050c3c503e001aa6249f,"C02
",0.4113402975580942,0.5886597024419044,Neutral
20.1.2020 0:11,20.1.2020 0:14,IP Address,82.132.230.208,100,169,True,20.1.2020 0:14,R_2CkLTKz3v8KdqAJ,,,,,51.49639893,-0.122406006,anonymous,EN,8,10,9,8,8,9,2,2,10,10,10,10,7,7,7,8,8,10,4,1,8,6,1,"The bot provided straight forward answers to my questions, in a pleasant and helpful tone. ",5c953449e4d1d200172f23f6,"C02
",0.9105349730995697,0.08946502690042824,Negative
20.1.2020 0:13,20.1.2020 0:15,IP Address,86.177.66.185,100,121,True,20.1.2020 0:15,R_2fuQfMAnLCTdilv,,,,,51.51879883,-0.035995483,anonymous,EN,10,10,10,3,4,4,1,1,1,2,2,5,2,2,2,7,5,8,3,3,2,1,1,"To eager to sell mortgage, not highlighting risks of mortgage.  Very quick responses felt unnatural.",5a57c704e0cf3d0001265082,"C02
",0.27569501684707626,0.7243049831529228,Somewhat positive
20.1.2020 0:13,20.1.2020 0:18,IP Address,86.11.141.214,100,271,True,20.1.2020 0:18,R_3GuCKvlEYtyGB4M,,,,,54.38330078,-6.333297729,anonymous,EN,8,8,8,8,8,8,3,4,4,8,9,9,8,8,8,8,8,8,8,8,8,7,7,i think that the bot was attentive and helpful,5a384471e7bc8000010a8df2,"C02
",0.8491583944756154,0.150841605524385,Negative
20.1.2020 0:10,20.1.2020 0:19,IP Address,24.252.129.40,100,529,True,20.1.2020 0:19,R_VJZl4zkUwYw9rbj,,,,,37.25570679,-79.98120117,anonymous,EN,7,10,10,2,2,7,1,1,5,7,8,7,6,7,7,8,9,6,1,10,8,6,2,I was asking questions about the loan process and receiving information from a bot,5bd869bf92162c00019c1a54,"C02
",0.7309322033898301,0.26906779661016955,Somewhat negative
22.1.2020 3:33,22.1.2020 3:35,IP Address,134.151.16.168,100,117,True,22.1.2020 3:35,R_1IAgQ1JIMIPsKlJ,,,,,52.48120117,-1.899505615,anonymous,EN,10,10,10,2,3,5,1,1,7,6,3,6,6,6,5,4,2,6,6,3,6,3,1,They felt like rote responses that although enthusiastic did not addres me as an individual. ,576020968ddaf40006ce9746,"C02
",0.7563966391721438,0.24360336082785652,Somewhat negative
22.1.2020 3:33,22.1.2020 3:36,IP Address,90.214.145.23,100,147,True,22.1.2020 3:36,R_tJV1XTp6ikp90S5,,,,,55.00210571,-1.628692627,anonymous,EN,10,8,8,4,8,4,1,1,1,8,8,9,9,8,9,7,7,9,9,7,10,6,1,"The bot was good but I thought it was a bit to nice, to eager to please",5c6fe83f2b44fc000115f3b9,"C02
",0.13167134301633926,0.8683286569836586,Positive
22.1.2020 3:35,22.1.2020 3:37,IP Address,109.151.76.201,100,148,True,22.1.2020 3:37,R_2c8fgyr9y7HOQlX,,,,,54.0440979,-1.410705566,anonymous,EN,10,10,10,4,6,6,1,1,1,10,8,8,10,10,10,10,10,9,1,1,10,10,1,"It answered all my questions thoroughly, and didn't leave me with any more questions. It seemed very eager to please me, and gave more information that a human would have given if they were having the same conversation.",5cab9c01291df900015c2849,"C02
",0.03851903771282891,0.9614809622871707,Positive
20.1.2020 0:06,20.1.2020 0:09,IP Address,79.65.43.28,100,223,True,20.1.2020 0:09,R_0CC2YTwUCDearjH,,,,,54.57460022,-1.192703247,anonymous,EN,2,2,2,2,3,2,7,7,7,5,3,3,4,4,3,3,2,3,3,3,2,2,2,"The bot did not seem to ask that many in depth questions about me, it did not provide me with any useful infomation, it was quite useless, I would want to know what kind ofrepayment would be expected etc. The bot seemed to be interested in it's own needs and getting better at communicating, which was disconcerting and weird, you would have thought who ever had programmed it was having a joke",5b9a0944e3d0a8000135eb92,"C03
",0.9583926179885808,0.04160738201142171,Negative
